Corte,Sexo,RangoEdad,Asegurados,PrimaDevengada,SiniestralidadOcurrida,SiniestrosNuevos,SiniestrosTotales,FactorSin,SiniestroProm,Frecuencia
201909,Masculino,60-64,95,3409242.217,1519219.98,9,15,44.56180826,168802.22,9.473684211
201909,Masculino,65-69,23,1215268.306,233161.16,4,6,19.18598213,58290.29,17.39130435
201909,Masculino,70-100,14,1454828.845,200580.98,3,4,13.78725619,66860.32667,21.42857143
202009,Femenino,0-4,212,1461590.597,1335397.83,9,18,91.36606605,148377.5367,4.245283019
202009,Femenino,05-09,264,746006.2563,181586.69,12,18,24.34117522,15132.22417,4.545454545
202009,Femenino,10-14,260,569127.7836,2993851.95,12,14,526.0421361,249487.6625,4.615384615
202009,Femenino,15-19,216,5480218.889,2875889.64,48,64,52.47764183,59914.3675,22.22222222
202009,Femenino,20-24,461,22431591.29,8305111.55,165,213,37.02417471,50334.00939,35.79175705
202009,Femenino,25-29,883,9082283.521,2277810.54,39,58,25.07971189,58405.39846,4.416761042
202009,Femenino,30-34,920,9816780.101,2638654.59,51,71,26.87902309,51738.32529,5.543478261
202009,Femenino,35-39,829,10222274.04,4229230.73,64,80,41.37269959,66081.73016,7.720144753
202009,Femenino,40-44,606,8052204.128,2441348.08,27,47,30.31900385,90420.29926,4.455445545
202009,Femenino,45-49,481,7349578.683,6808961.49,34,49,92.64424239,200263.5732,7.068607069
202009,Femenino,50-54,297,5165844.382,2111249.55,22,39,40.86939895,95965.88864,7.407407407
202009,Femenino,55-59,160,3477014.074,2578314.04,17,21,74.1531091,151665.5318,10.625
202009,Femenino,60-64,76,2118455.594,215256.9,3,9,10.1610296,71752.3,3.947368421
202009,Femenino,65-69,24,946672.5601,902209.94,3,5,95.3032736,300736.6467,12.5
202009,Femenino,70-100,14,1076597.782,1736822.87,8,11,161.3251392,217102.8587,57.14285714
202009,Masculino,0-4,228,1727110.701,801052.9,16,26,46.3810976,50065.80625,7.01754386
202009,Masculino,05-09,242,838268.9631,147843.36,8,15,17.63674507,18480.42,3.305785124
202009,Masculino,10-14,267,655379.0099,191482.67,4,7,29.21708921,47870.6675,1.498127341
202009,Masculino,15-19,244,3512226.337,4359669.58,44,53,124.1283779,99083.39955,18.03278689
202009,Masculino,20-24,589,17848500.31,7661431.88,121,163,42.92479338,63317.61884,20.54329372
202009,Masculino,25-29,1392,11459679.1,3799283.32,59,89,33.15348787,64394.63254,4.238505747
202009,Masculino,30-34,1440,11420206,4665859.42,53,70,40.85617561,88035.0834,3.680555556
202009,Masculino,35-39,1373,12955878.53,4383032.75,62,80,33.83045574,70694.07661,4.515659141
202009,Masculino,40-44,980,10715025.22,2208347.23,39,54,20.60981831,56624.28795,3.979591837
202009,Masculino,45-49,824,11201936.88,3146363.39,33,52,28.0876729,95344.34515,4.004854369
202009,Masculino,50-54,343,5379143.54,5691446,24,34,105.8058027,237143.5833,6.997084548
202009,Masculino,55-59,201,4512895.61,975629.67,11,17,21.6187068,88693.60636,5.472636816
202009,Masculino,60-64,106,3686351.798,956328.03,12,18,25.94239732,79694.0025,11.32075472
202009,Masculino,65-69,23,1144515.428,626527.11,3,5,54.74169197,208842.37,13.04347826
202009,Masculino,70-100,12,976023.4186,69393.99,1,2,7.109869362,69393.99,8.333333333
202109,Femenino,0-4,260,1574010.573,4282850.45,11,14,272.0979467,389350.0409,4.230769231
202109,Femenino,05-09,308,849410.5306,75528.29,9,12,8.891847615,8392.032222,2.922077922
202109,Femenino,10-14,292,648200.9152,214106.68,8,11,33.03091295,26763.335,2.739726027
202109,Femenino,15-19,3493,2203284.509,261326.08,10,22,11.86075057,26132.608,0.286286859
202109,Femenino,20-24,5290,6140831.845,2608229.35,33,66,42.47355108,79037.25303,0.623818526
202109,Femenino,25-29,1292,9622967.136,2189969.24,33,46,22.75773375,66362.70424,2.554179567
202109,Femenino,30-34,1187,11948072.43,4739360.52,68,87,39.66631895,69696.47824,5.728727885
202109,Femenino,35-39,998,11571494.67,5132305.49,52,72,44.35300396,98698.1825,5.210420842
202109,Femenino,40-44,749,8974794.061,4963549.02,48,61,55.30543639,103407.2712,6.408544726
202109,Femenino,45-49,583,7928679.98,9084673.67,42,57,114.579901,216301.754,7.204116638
202109,Femenino,50-54,379,6117790.208,4323744.62,24,40,70.674941,180156.0258,6.332453826
202109,Femenino,55-59,176,4294239.997,1190153.34,21,25,27.71511003,56673.96857,11.93181818
202109,Femenino,60-64,83,2808711.64,1824212.58,13,16,64.94837541,140324.0446,15.6626506
202109,Femenino,65-69,19,1053053.413,1001983.24,4,4,95.15027706,250495.81,21.05263158
202109,Femenino,70-100,10,1145376.301,527373.16,1,9,46.04365916,527373.16,10
202109,Masculino,0-4,271,2045161.503,3048601.68,18,25,149.0641045,169366.76,6.642066421
202109,Masculino,05-09,304,992714.8897,594478.94,16,18,59.88415669,37154.93375,5.263157895
202109,Masculino,10-14,306,809411.5662,296980.72,7,9,36.69094098,42425.81714,2.287581699
202109,Masculino,15-19,2313,1688920.18,1416130.83,13,17,83.84829824,108933.1408,0.56204064
202109,Masculino,20-24,4348,5014951.581,864137.22,19,49,17.23121761,45480.90632,0.436982521
202109,Masculino,25-29,2083,10582882.37,3240531.67,45,76,30.62050165,72011.81489,2.160345655
202109,Masculino,30-34,1934,12559595.49,9309057.18,67,87,74.11908441,138941.1519,3.464322647
202109,Masculino,35-39,1640,12405801.19,5288315.26,46,67,42.62776083,114963.3752,2.804878049
202109,Masculino,40-44,1225,13153384.45,3446192.45,45,60,26.20004352,76582.05444,3.673469388
202109,Masculino,45-49,986,9893624.067,8159001.59,45,63,82.46726917,181311.1464,4.563894523
202109,Masculino,50-54,524,6514346.996,4405181.93,29,49,67.62277068,151902.8252,5.534351145
202109,Masculino,55-59,243,5057382.755,9787442.34,21,30,193.527815,466068.6829,8.641975309
202109,Masculino,60-64,127,4496424.049,5957619.68,13,17,132.4968378,458278.4369,10.23622047
202109,Masculino,65-69,32,1527927.323,319074.66,4,6,20.88284273,79768.665,12.5
202109,Masculino,70-100,12,1159360.767,741837.77,5,6,63.98679262,148367.554,41.66666667
202209,Femenino,0-4,278,2360470.385,1167402.9,9,13,49.45636715,129711.4333,3.237410072
202209,Femenino,05-09,339,1056082.838,295101.78,12,15,27.94305233,24591.815,3.539823009
202209,Femenino,10-14,350,859787.7476,154080.14,4,8,17.92071827,38520.035,1.142857143
202209,Femenino,15-19,4364,6875750.752,4848457.23,52,56,70.51531396,93239.56212,1.191567369
202209,Femenino,20-24,6451,23078445.06,17878029.47,170,183,77.46635191,105164.8792,2.635250349
202209,Femenino,25-29,1802,12819419.53,5225901.24,68,78,40.76550601,76851.48882,3.773584906
202209,Femenino,30-34,1656,16343825.96,9290535.84,86,115,56.84431455,108029.4865,5.193236715
202209,Femenino,35-39,1442,15914291.11,8410399.24,86,107,52.84809222,97795.34,5.963938974
202209,Femenino,40-44,1098,12860517.26,8148579.99,80,96,63.36121499,101857.2499,7.285974499
202209,Femenino,45-49,789,11182708.91,7629126.94,62,83,68.22252997,123050.4345,7.858048162
202209,Femenino,50-54,574,9582212.319,7729569.85,35,46,80.66581696,220844.8529,6.097560976
202209,Femenino,55-59,229,5701444.98,4295800.87,18,24,75.34582698,238655.6039,7.860262009
202209,Femenino,60-64,97,3653027.664,3576954.4,12,20,97.91752838,298079.5333,12.37113402
202209,Femenino,65-69,23,1385425.77,1801628.17,5,6,130.0414796,360325.634,21.73913043
202209,Femenino,70-100,7,1189006.872,61072.65,0,2,5.136442136,NA,0
202209,Masculino,0-4,297,2728719.225,2076669.77,22,32,76.10419389,94394.08045,7.407407407
202209,Masculino,05-09,364,1524758.271,242987.71,14,17,15.93614638,17356.265,3.846153846
202209,Masculino,10-14,344,1033417.464,350887.07,6,9,33.95404879,58481.17833,1.744186047
202209,Masculino,15-19,3011,4738181.234,3633936.4,39,46,76.69475312,93177.85641,1.295250747
202209,Masculino,20-24,5243,16169880.25,17418906.21,148,157,107.7243983,117695.3122,2.822811368
202209,Masculino,25-29,2496,12975415.28,4817480,59,74,37.12775196,81652.20339,2.363782051
202209,Masculino,30-34,2452,15582029.34,10677191.26,63,92,68.52246925,169479.2263,2.569331158
202209,Masculino,35-39,2063,14976797.76,8009604.42,88,109,53.48008665,91018.23205,4.265632574
202209,Masculino,40-44,1506,12640243.92,4425671.91,52,74,35.01255147,85109.07519,3.452855246
202209,Masculino,45-49,1266,13196510,7027422.43,60,79,53.25212827,117123.7072,4.739336493
202209,Masculino,50-54,827,11147090.05,5482351.07,50,70,49.18190347,109647.0214,6.045949214
202209,Masculino,55-59,354,7414047.276,4505461.43,18,30,60.76925682,250303.4128,5.084745763
202209,Masculino,60-64,185,6715429.472,1859684.72,14,24,27.69271463,132834.6229,7.567567568
202209,Masculino,65-69,30,1803935.945,387258.78,6,8,21.4674352,64543.13,20
202209,Masculino,70-100,14,1357113.641,1240663.56,3,4,91.41928298,413554.52,21.42857143
202309,Femenino,0-4,289,2395332.301,1244046.39,17,20,51.9362758,73179.19941,5.882352941
202309,Femenino,05-09,406,1139325.188,377061.9,10,13,33.09519566,37706.19,2.463054187
202309,Femenino,10-14,386,830758.957,278181.51,12,13,33.48522549,23181.7925,3.10880829
202309,Femenino,15-19,4776,8672083.992,6027533.81,88,102,69.50502111,68494.70239,1.842546064
202309,Femenino,20-24,6604,25799156.73,15210108.79,184,247,58.955837,82663.63473,2.786190188
202309,Femenino,25-29,1413,14798906.25,6409254.81,85,123,43.30897636,75402.99776,6.01556971
202309,Femenino,30-34,1630,22443760.54,8077794.83,79,107,35.99127168,102250.5675,4.846625767
202309,Femenino,35-39,1919,28666164.35,10536647.3,94,131,36.75639047,112091.9926,4.898384575
202309,Femenino,40-44,1374,22001390.08,9328530.77,86,127,42.39973355,108471.288,6.259097525
202309,Femenino,45-49,1133,18816258.84,7626210.96,60,89,40.52990035,127103.516,5.295675199
202309,Femenino,50-54,864,16840328.52,7139666.09,62,85,42.39623997,115155.9047,7.175925926
202309,Femenino,55-59,396,9486361.065,2000393.88,22,33,21.08705189,90926.99455,5.555555556
202309,Femenino,60-64,154,5433753.747,1247599.32,7,14,22.96017409,178228.4743,4.545454545
202309,Femenino,65-69,31,1850197.605,846677.15,6,10,45.76144449,141112.8583,19.35483871
202309,Femenino,70-100,13,1449005.574,2069544.85,4,4,142.8251821,517386.2125,30.76923077
202309,Masculino,0-4,309,2963952.026,6083243.2,20,29,205.2409468,304162.16,6.472491909
202309,Masculino,05-09,410,1637163.24,288285.5,10,12,17.60884272,28828.55,2.43902439
202309,Masculino,10-14,400,1098831.359,350716.76,8,10,31.91725073,43839.595,2
202309,Masculino,15-19,3338,5794980.054,7111363.97,61,77,122.7159352,116579.7372,1.827441582
202309,Masculino,20-24,5234,19382785.24,15865452.12,182,229,81.85331431,87172.81385,3.477264043
202309,Masculino,25-29,1527,12990306.86,6953888.24,72,94,53.53136237,96581.78111,4.715127701
202309,Masculino,30-34,1454,17265901.66,5055939.11,62,94,29.28279803,81547.405,4.264099037
202309,Masculino,35-39,1507,18721588.97,6522586.4,69,104,34.83991883,94530.23768,4.578633046
202309,Masculino,40-44,1225,17467380.66,5944165.4,60,88,34.03009024,99069.42333,4.897959184
202309,Masculino,45-49,1063,-29060732.81,6878793.92,66,97,-23.67040764,104224.1503,6.208842897
202309,Masculino,50-54,901,17235540.77,6169111.76,45,69,35.79296897,137091.3724,4.99445061
202309,Masculino,55-59,491,11580580.63,2293173.36,21,35,19.80188588,109198.7314,4.276985743
202309,Masculino,60-64,208,8430147.126,3382117.54,15,21,40.11931808,225474.5027,7.211538462
202309,Masculino,65-69,58,3089284.57,660471.33,4,8,21.3794267,165117.8325,6.896551724
202309,Masculino,70-100,20,1558201.509,971642.43,4,6,62.35666085,242910.6075,20
